age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37,Self-emp-not-inc,101561,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,>50K
47,Private,169092,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,>50K
30,Private,255885,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
53,State-gov,144586,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Self-emp-not-inc,34007,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,>50K
25,Private,225865,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,50,United-States,<=50K
27,Federal-gov,196386,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,4064,0,40,El-Salvador,<=50K
67,Private,233022,11th,7,Widowed,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K
49,Private,59380,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,201141,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,United-States,<=50K
42,Private,83411,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,1408,40,United-States,<=50K
40,Self-emp-inc,137367,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,<=50K
20,Private,218215,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,135791,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,50,Cuba,>50K
57,Private,81973,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,15024,0,45,United-States,>50K
38,Local-gov,185394,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,United-States,>50K
50,Private,163708,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
49,Federal-gov,110373,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
43,Private,187861,HS-grad,9,Separated,Transport-moving,Unmarried,White,Female,0,0,44,United-States,<=50K
49,Private,165513,Some-college,10,Divorced,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K
21,Private,221661,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
30,Private,378009,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
58,Private,175127,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,203233,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
46,Private,251474,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
22,Private,187052,11th,7,Never-married,Sales,Unmarried,White,Female,0,0,30,United-States,<=50K
39,Self-emp-inc,128715,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
35,Private,89508,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
46,Private,56841,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,256448,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,15,United-States,<=50K
27,,176683,Some-college,10,Never-married,,Own-child,White,Male,0,1719,40,United-States,<=50K
43,Private,176138,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
23,Private,206129,Assoc-voc,11,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,<=50K
30,Private,191777,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,?,<=50K
47,Private,222529,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,<=50K
28,Private,190525,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
45,Private,353083,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Private,300528,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
42,Private,314649,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0,0,40,?,<=50K
37,Federal-gov,419053,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,300687,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
49,Private,208978,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,16,United-States,<=50K
43,Private,171754,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,,<=50K
38,Private,354739,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,36,Philippines,>50K
44,Private,109912,Doctorate,16,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,32,United-States,>50K
25,Private,134113,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K
21,Private,190968,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
37,Local-gov,65291,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,430283,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,40,United-States,>50K
33,Local-gov,368675,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,140790,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
24,Private,267843,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,35,United-States,<=50K
43,Private,220589,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
69,Private,203313,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,991,0,18,United-States,<=50K
52,Self-emp-not-inc,155278,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,328947,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,175778,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
53,Local-gov,294547,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,0,0,48,United-States,<=50K
26,Private,166666,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K
19,Private,278915,12th,8,Never-married,Handlers-cleaners,Own-child,Black,Female,0,0,52,United-States,<=50K
35,Private,243409,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Germany,<=50K
34,Self-emp-not-inc,527162,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,<=50K
45,Self-emp-inc,185497,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,70,?,<=50K
27,Private,217530,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,40,El-Salvador,<=50K
28,Private,196286,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
58,Federal-gov,215900,HS-grad,9,Never-married,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
33,Local-gov,115488,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
47,Private,213668,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,8614,0,65,United-States,>50K
31,Private,141410,Some-college,10,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
38,State-gov,162424,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
56,Self-emp-not-inc,385632,7th-8th,4,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
62,?,232719,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,<=50K
57,Private,335605,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
24,Private,139989,Bachelors,13,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
37,Local-gov,126569,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
18,Private,41381,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,1602,20,United-States,<=50K
58,Private,105239,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
46,Private,138069,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
28,Private,129460,9th,5,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,El-Salvador,<=50K
42,Private,162884,HS-grad,9,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,60,Columbia,<=50K
62,Private,113440,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,<=50K
49,Self-emp-not-inc,182211,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,55,United-States,<=50K
59,Local-gov,167027,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,312232,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,Self-emp-not-inc,285020,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40,United-States,<=50K
54,Self-emp-not-inc,175804,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,Private,252752,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,13550,0,60,United-States,>50K
43,Private,178976,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
29,Private,162551,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,40,Hong,>50K
32,Local-gov,144949,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
41,Local-gov,42346,Some-college,10,Divorced,Other-service,Not-in-family,Black,Female,0,0,24,United-States,<=50K
23,Private,179413,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
53,State-gov,182907,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
53,Private,200190,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
46,Private,75256,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0,0,40,United-States,<=50K
28,Private,148429,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2885,0,40,United-States,<=50K
44,Private,245333,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
42,Private,203393,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,Black,Female,0,0,35,United-States,>50K
29,Private,250967,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,48,United-States,>50K
60,Private,173960,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,42,United-States,<=50K
30,Private,143392,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
53,Private,22978,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K
38,State-gov,110426,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,?,>50K
53,Local-gov,196395,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
30,Private,230224,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
28,Self-emp-not-inc,183151,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
29,Private,66095,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
62,Local-gov,223637,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,0,35,United-States,<=50K
44,Private,213934,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,42,United-States,<=50K
39,Self-emp-not-inc,245361,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,United-States,<=50K
37,Private,130277,5th-6th,3,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
36,Private,192704,12th,8,Never-married,Exec-managerial,Not-in-family,White,Male,4650,0,50,United-States,<=50K
22,Private,110677,Some-college,10,Separated,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
41,Private,109912,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,,<=50K
37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,231357,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Self-emp-not-inc,366483,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,36,Mexico,<=50K
17,State-gov,117906,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
57,Private,191318,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
52,Private,246936,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
69,Private,197080,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,9386,0,60,United-States,>50K
21,State-gov,51979,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,11,United-States,<=50K
55,State-gov,157639,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
49,,178341,HS-grad,9,Married-civ-spouse,,Husband,White,Male,7688,0,50,United-States,>50K
52,Private,177995,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,56,Mexico,>50K
28,Private,119793,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,229472,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
56,Private,442116,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,54,United-States,>50K
21,Private,223811,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
40,Private,77572,Some-college,10,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
38,Private,105803,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
55,Private,169276,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,Black,Male,0,0,40,United-States,<=50K
46,Private,219021,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,15024,0,44,United-States,>50K
61,State-gov,186451,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,>50K
38,Self-emp-not-inc,198867,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,139000,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
18,Private,36251,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
27,Private,263614,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
28,Private,309196,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,391468,11th,7,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
26,Private,331861,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,?,<=50K
44,State-gov,195212,Masters,14,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,52,United-States,<=50K
33,Private,93206,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
34,Private,170017,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
25,Private,248851,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
32,Private,206365,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
28,Private,126135,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,216724,HS-grad,9,Divorced,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
46,Local-gov,183168,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,43,United-States,<=50K
46,Private,563883,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,60,United-States,>50K
57,Private,231232,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,328669,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,<=50K
40,Private,343068,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,55,United-States,<=50K
48,Private,190072,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K
38,Federal-gov,47707,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
41,Private,190786,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
34,Self-emp-not-inc,209768,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,235849,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,35,United-States,<=50K
28,Private,104024,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
42,Private,188789,7th-8th,4,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,35,United-States,<=50K
32,Private,162572,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,48,United-States,>50K
20,Private,151790,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
55,Federal-gov,145401,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
46,Self-emp-not-inc,181372,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Private,214955,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
57,Private,188872,5th-6th,3,Divorced,Transport-moving,Unmarried,White,Male,6497,0,40,United-States,<=50K
36,State-gov,77146,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
63,Private,214071,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,236391,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
65,Self-emp-not-inc,118474,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,9386,0,59,?,>50K
52,Private,403027,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
38,Private,439592,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
48,Private,107682,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,10,United-States,<=50K
59,Private,214052,5th-6th,3,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
38,Self-emp-inc,159179,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
60,Private,109511,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,256796,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
33,Private,109996,Assoc-acdm,12,Married-spouse-absent,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,174592,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
48,Private,148254,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,16,United-States,>50K
70,?,167358,9th,5,Widowed,?,Unmarried,White,Female,1111,0,15,United-States,<=50K
61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
68,Private,178066,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,1797,0,24,United-States,<=50K
22,Private,113062,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
21,Private,292264,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
34,Private,35743,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
30,Private,329425,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
50,Self-emp-inc,175339,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,60,United-States,<=50K
20,Private,42279,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
57,Private,170244,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Private,174789,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
54,Private,99434,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
45,Private,83993,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,56,United-States,>50K
34,?,164309,11th,7,Married-civ-spouse,?,Wife,White,Female,0,0,8,United-States,<=50K
20,Local-gov,308654,Some-college,10,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
54,Federal-gov,33863,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
